Epoch,Time (s),Train Loss,Test Loss,BIC
1,74.6443190574646,NaN,NaN,NaN
2,81.92301416397095,NaN,NaN,NaN
3,89.17109704017639,NaN,NaN,NaN
4,96.38798117637634,NaN,NaN,NaN
5,103.4382221698761,NaN,NaN,NaN
6,110.42197513580322,NaN,NaN,NaN
7,117.66543507575989,NaN,NaN,NaN
8,124.85908913612366,NaN,NaN,NaN
9,132.04143118858337,NaN,NaN,NaN
10,139.19766998291016,NaN,NaN,NaN
11,146.3475751876831,NaN,NaN,NaN
12,153.4243459701538,NaN,NaN,NaN
13,160.5302300453186,NaN,NaN,NaN
14,167.62026500701904,NaN,NaN,NaN
15,174.7306489944458,NaN,NaN,NaN
16,181.86683201789856,NaN,NaN,NaN
17,189.01611614227295,NaN,NaN,NaN
18,196.1377251148224,NaN,NaN,NaN
19,203.27312517166138,NaN,NaN,NaN
20,210.37078213691711,NaN,NaN,NaN
21,217.53302311897278,NaN,NaN,NaN
22,224.73543906211853,NaN,NaN,NaN
23,231.934228181839,NaN,NaN,NaN
24,239.08956718444824,NaN,NaN,NaN
25,246.26076102256775,NaN,NaN,NaN
26,253.4226381778717,NaN,NaN,NaN
27,260.5552179813385,NaN,NaN,NaN
28,267.76321601867676,NaN,NaN,NaN
29,274.95692205429077,NaN,NaN,NaN
30,282.1482961177826,NaN,NaN,NaN
31,289.2914800643921,NaN,NaN,NaN
32,296.49632596969604,NaN,NaN,NaN
33,303.70317912101746,NaN,NaN,NaN
34,310.86562609672546,NaN,NaN,NaN
35,318.0732309818268,NaN,NaN,NaN
36,325.2385001182556,NaN,NaN,NaN
37,332.3731861114502,NaN,NaN,NaN
38,339.59061908721924,NaN,NaN,NaN
39,346.79123711586,NaN,NaN,NaN
